Country,Order,Total deaths,Confirmed cases,Death rate,Cluster5,Cluster6
Afghanistan,34,1,24,41.66666667,2,1
Albania,48,4,76,52.63157895,0,2
Algeria,35,17,139,122.3021583,0,0
Angola,59,0,2,0,2,2
Antigua and Barbuda,52,0,1,0,0,0
Argentina,42,4,158,25.3164557,0,0
Armenia,40,0,160,0,0,0
Australia,5,7,1071,6.535947712,4,4
Austria,35,21,2814,7.462686567,4,4
Azerbaijan,40,1,53,18.86792453,0,0
Bahrain,34,2,305,6.557377049,1,5
Bangladesh,47,3,25,120,1,1
Barbados,56,0,6,0,0,0
Belarus,38,0,76,0,0,0
Belgium,14,88,2815,31.26110124,4,4
Benin,55,0,2,0,2,2
Bhutan,45,0,2,0,0,0
Bolivia,50,0,19,0,0,0
Bosnia and Herzegovina,44,1,93,10.75268817,0,0
Brazil,36,34,1021,33.3006856,0,0
Brunei,48,0,83,0,0,0
Bulgaria,47,3,163,18.40490798,0,0
Burkina Faso,49,4,64,62.5,2,1
Cambodia,6,0,53,0,0,0
Cameroon,45,0,27,0,1,1
Canada,5,25,1277,19.57713391,4,4
Cape Verde,59,0,3,0,0,0
Central African Republic,54,0,3,0,2,1
Chad,58,0,1,0,2,1
Chile,42,2,537,3.724394786,0,0
China,1,3274,81305,40.26812619,1,5
Colombia,45,3,196,15.30612245,0,0
Congo (Brazzaville),54,0,3,0,2,1
Congo (Kinshasa),50,1,23,43.47826087,2,1
Costa Rica,45,2,117,17.09401709,0,0
Cote d'Ivoire,50,0,14,0,2,2
Croatia,35,1,206,4.854368932,0,0
Cuba,51,1,21,47.61904762,0,0
Cyprus,48,1,84,11.9047619,0,0
Czech Republic,40,1,995,1.005025126,0,0
Denmark,37,24,1420,16.90140845,4,4
Djibouti,57,0,1,0,2,1
Dominican Republic,40,3,112,26.78571429,0,0
Ecuador,40,18,506,35.57312253,0,0
Egypt,24,19,294,64.62585034,1,5
El Salvador,58,0,3,0,0,0
Equatorial Guinea,54,0,6,0,2,1
Eritrea,60,0,1,0,2,1
Estonia,37,0,306,0,0,0
Ethiopia,52,0,9,0,2,2
Fiji,58,0,1,0,0,0
Finland,8,1,523,1.912045889,4,4
France,3,862,14463,59.60035954,4,4
Gabon,53,1,4,250,2,1
Georgia,36,0,49,0,0,0
Germany,6,123,22213,5.537297979,4,4
Ghana,53,2,19,105.2631579,2,2
Greece,36,17,530,32.0754717,0,0
Guatemala,53,1,17,58.82352941,2,2
Guinea,52,0,2,0,2,2
Guyana,51,1,7,142.8571429,0,0
Haiti,59,0,2,0,2,2
Honduras,50,0,24,0,0,0
Hungary,43,7,103,67.96116505,0,0
Iceland,38,1,473,2.114164905,3,3
India,9,10,330,30.3030303,1,5
Indonesia,41,49,450,108.8888889,2,2
Iran,29,1812,20610,87.91848617,0,0
Iraq,34,23,214,107.4766355,1,5
Ireland,39,6,785,7.643312102,3,3
Israel,31,1,883,1.132502831,4,4
Italy,10,6077,53578,113.4234201,4,4
Jamaica,50,1,16,62.5,0,0
Japan,1,42,1007,41.70804369,4,4
Jordan,42,0,85,0,0,0
Kazakhstan,52,0,53,0,0,0
Kenya,52,0,7,0,2,2
Kuwait,34,0,176,0,1,5
Kyrgyzstan,57,0,14,0,0,0
Latvia,41,0,124,0,0,0
Lebanon,31,4,187,21.39037433,0,0
Liberia,55,0,3,0,2,2
Lithuania,38,1,83,12.04819277,0,0
Luxembourg,39,8,670,11.94029851,3,3
Macedonia,36,2,85,23.52941176,0,0
Madagascar,59,0,3,0,2,2
Malaysia,4,14,1183,11.83431953,0,0
Maldives,47,0,13,0,0,2
Malta,46,0,73,0,0,0
Mauritania,53,0,2,0,2,1
Mauritius,57,2,14,142.8571429,0,0
Mexico,38,3,203,14.77832512,0,0
Moldova,47,1,80,12.5,0,0
Mongolia,49,0,10,0,0,0
Montenegro,56,1,14,71.42857143,0,0
Morocco,41,4,96,41.66666667,0,0
Namibia,53,0,3,0,0,0
Nepal,4,0,1,0,1,5
Netherlands,37,214,3640,58.79120879,4,4
New Zealand,38,0,52,0,4,4
Nicaragua,58,0,2,0,0,0
Niger,59,0,1,0,1,1
Nigeria,38,1,22,45.45454545,2,1
Norway,36,10,2118,4.721435316,3,3
Oman,34,0,52,0,0,0
Pakistan,36,6,730,8.219178082,2,1
Panama,49,6,200,30,0,0
Papua New Guinea,59,0,1,0,2,2
Paraguay,47,1,18,55.55555556,0,0
Peru,45,5,318,15.72327044,0,0
Philippines,9,33,307,107.4918567,0,0
Poland,43,8,536,14.92537313,0,0
Portugal,41,23,1280,17.96875,0,0
Qatar,39,0,481,0,1,5
Romania,36,7,367,19.07356948,0,0
Russian Federation,10,1,306,3.267973856,0,0
Rwanda,53,0,17,0,0,1
Saint Lucia,53,0,2,0,0,0
Saint Vincent and the Grenadines,53,0,1,0,0,0
Saudi Arabia,41,0,392,0,1,5
Senegal,41,0,47,0,2,1
Serbia,45,3,171,17.54385965,0,0
Seychelles,53,0,7,0,0,0
Singapore,2,2,432,4.62962963,4,4
Slovakia,45,0,178,0,0,0
Slovenia,44,3,383,7.832898172,0,0
Somalia,55,0,1,0,2,2
South Africa,44,0,240,0,0,0
South Korea,1,111,8799,12.61506989,0,0
Spain,11,2311,25374,91.07748089,0,0
Sri Lanka,6,0,77,0,0,0
Sudan,52,1,2,500,2,1
Suriname,53,0,4,0,0,0
Sweden,10,25,1763,14.18037436,4,4
Switzerland,35,120,6575,18.25095057,3,3
Tanzania,55,0,6,0,2,2
Thailand,1,1,411,2.433090024,0,0
The Bahamas,55,0,NA,NA,4,4
The Gambia,56,1,NA,NA,2,2
Timor-Leste,61,0,NA,NA,2,2
Togo,45,0,16,0,2,2
Trinidad and Tobago,53,0,49,0,0,0
Tunisia,43,3,60,50,0,0
Turkey,50,37,670,55.2238806,0,0
Uganda,60,0,1,0,2,1
Ukraine,42,3,47,63.82978723,0,0
United Arab Emirates,8,2,153,13.07189542,4,4
United Kingdom,10,336,5067,66.31142688,4,4
United States,1,557,25489,21.85256385,4,4
Uruguay,53,0,110,0,0,0
Uzbekistan,54,0,43,0,0,0
Venezuela,53,0,70,0,0,0
Vietnam,2,0,94,0,0,0
Zambia,57,0,2,0,2,2
Zimbabwe,59,1,3,333.3333333,2,2
